Ticker,Sector
A,Healthcare
AABA,Unknown
AAL,Industrials
AAMRQ,Unknown
AAP,Consumer Cyclical
AAPL,Technology
ABBV,Healthcare
ABC,Unknown
ABI,Unknown
ABKFQ,Unknown
ABMD,Unknown
ABNB,Consumer Cyclical
ABS,Unknown
ABT,Healthcare
ABX,Unknown
ACAS,Unknown
ACGL,Financial Services
ACKH,Unknown
ACN,Technology
ACS,Unknown
ACV,Financial Services
ADBE,Technology
ADCT,Healthcare
ADI,Technology
ADM,Consumer Defensive
ADP,Technology
ADS,Unknown
ADSK,Technology
ADT,Industrials
AEE,Utilities
AEP,Utilities
AES,Utilities
AET,Unknown
AFL,Financial Services
AFS.A,Unknown
AGC,Unknown
AGN,Unknown
AHM,Unknown
AIG,Financial Services
AIT,Industrials
AIV,Real Estate
AIZ,Financial Services
AJG,Financial Services
AKAM,Technology
AKS,Unknown
AL,Industrials
ALB,Basic Materials
ALGN,Healthcare
ALK,Industrials
ALL,Financial Services
ALLE,Industrials
ALTR,Technology
ALXN,Unknown
AM,Energy
AMAT,Technology
AMCC,Unknown
AMCR,Consumer Cyclical
AMD,Technology
AME,Industrials
AMG,Financial Services
AMGN,Healthcare
AMH,Real Estate
AMP,Financial Services
AMT,Real Estate
AMTM,Industrials
AMZN,Consumer Cyclical
AN,Consumer Cyclical
ANDV,Unknown
ANDW,Unknown
ANET,Technology
ANF,Consumer Cyclical
ANRZQ,Unknown
ANSS,Technology
ANTM,Unknown
ANV,Unknown
AON,Financial Services
AOS,Industrials
APA,Energy
APC,Unknown
APCC,Unknown
APD,Basic Materials
APH,Technology
APO,Financial Services
APOL,Unknown
APTV,Consumer Cyclical
AR,Energy
ARC,Unknown
ARE,Real Estate
ARG,Unknown
ARNC,Unknown
AS,Consumer Cyclical
ASC,Industrials
ASH,Basic Materials
ASN,Unknown
ASND,Healthcare
ASO,Consumer Cyclical
AT,Unknown
ATGE,Consumer Defensive
ATI,Industrials
ATO,Utilities
ATVI,Unknown
AV,Unknown
AVB,Real Estate
AVGO,Technology
AVP,Unknown
AVY,Consumer Cyclical
AW,Unknown
AWE,Unknown
AWK,Utilities
AXON,Industrials
AXP,Financial Services
AYE,Unknown
AYI,Industrials
AZA.A,Unknown
AZO,Consumer Cyclical
BA,Industrials
BAC,Financial Services
BALL,Consumer Cyclical
BAX,Healthcare
BAY,Unknown
BBBY,Unknown
BBI,Unknown
BBT,Unknown
BBWI,Consumer Cyclical
BBY,Consumer Cyclical
BC,Consumer Cyclical
BCO,Industrials
BCR,Unknown
BDK,Unknown
BDX,Healthcare
BEAM,Healthcare
BEN,Financial Services
BEV,Unknown
BF.B,Unknown
BFI,Consumer Cyclical
BFO,Unknown
BG,Consumer Defensive
BGEN,Unknown
BGG,Unknown
BHF,Financial Services
BHGE,Unknown
BHMSQ,Unknown
BIG,Unknown
BIIB,Healthcare
BIO,Healthcare
BJS,Unknown
BK,Financial Services
BKB,Unknown
BKNG,Consumer Cyclical
BKR,Energy
BLDR,Industrials
BLK,Financial Services
BLL,Unknown
BLS,Unknown
BLY,Unknown
BMC,Unknown
BMET,Unknown
BMGCA,Unknown
BMS,Unknown
BMY,Healthcare
BNI,Unknown
BNL,Real Estate
BOAT,Unknown
BOL,Unknown
BR,Technology
BRCM,Unknown
BRK.B,Unknown
BRL,Unknown
BRO,Financial Services
BSC,Unknown
BSX,Healthcare
BT,Unknown
BTUUQ,Unknown
BUD,Consumer Defensive
BVSN,Unknown
BWA,Consumer Cyclical
BX,Financial Services
BXLT,Unknown
BXP,Real Estate
C,Financial Services
CA,Unknown
CAG,Consumer Defensive
CAH,Healthcare
CAL,Consumer Cyclical
CAM,Unknown
CAR,Industrials
CARR,Industrials
CAT,Industrials
CB,Financial Services
CBB,Unknown
CBE,Unknown
CBH,Unknown
CBOE,Financial Services
CBRE,Real Estate
CBS,Unknown
CBSS,Unknown
CCB,Financial Services
CCE,Unknown
CCEP,Consumer Defensive
CCI,Real Estate
CCK,Consumer Cyclical
CCL,Consumer Cyclical
CCTYQ,Unknown
CCU,Consumer Defensive
CDAY,Unknown
CDNS,Technology
CDW,Technology
CE,Basic Materials
CEG,Utilities
CELG,Unknown
CEN,Unknown
CEPH,Unknown
CERN,Unknown
CF,Basic Materials
CFC,Unknown
CFG,Financial Services
CFL,Unknown
CFN,Unknown
CG,Financial Services
CGP,Unknown
CHA,Unknown
CHD,Consumer Defensive
CHIR,Unknown
CHK,Unknown
CHRS,Healthcare
CHRW,Industrials
CHTR,Communication Services
CI,Healthcare
CIEN,Technology
CIN,Unknown
CINF,Financial Services
CIT.A,Unknown
CITGQ,Unknown
CL,Consumer Defensive
CLF,Basic Materials
CLX,Consumer Defensive
CMA,Financial Services
CMB,Unknown
CMCSA,Communication Services
CMCSK,Unknown
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMS,Utilities
CMVT,Unknown
CMX,Unknown
CNC,Healthcare
CNG,Unknown
CNP,Utilities
CNW,Unknown
CNX,Energy
CNXT,Unknown
COC.B,Unknown
COF,Financial Services
COG,Unknown
COL,Unknown
COMS,Technology
COO,Healthcare
COP,Energy
COR,Healthcare
COST,Consumer Defensive
COTY,Consumer Defensive
COV,Unknown
CPAY,Technology
CPB,Consumer Defensive
CPGX,Unknown
CPNLQ,Unknown
CPQ,Unknown
CPRI,Consumer Cyclical
CPRT,Industrials
CPT,Real Estate
CPWR,Utilities
CR,Industrials
CRL,Healthcare
CRM,Technology
CRR,Unknown
CRWD,Technology
CSCO,Technology
CSE,Unknown
CSGP,Real Estate
CSR,Real Estate
CSRA,Unknown
CSX,Industrials
CTAS,Industrials
CTB,Unknown
CTL,Unknown
CTLT,Unknown
CTRA,Energy
CTSH,Technology
CTVA,Basic Materials
CTX,Unknown
CTXS,Unknown
CVC,Unknown
CVG,Unknown
CVH,Unknown
CVS,Healthcare
CVX,Energy
CXO,Unknown
CYM,Unknown
CYR,Unknown
CZR,Consumer Cyclical
D,Utilities
DAL,Industrials
DALRQ,Unknown
DAY,Technology
DCNAQ,Unknown
DD,Basic Materials
DDR,Unknown
DDS,Consumer Cyclical
DE,Industrials
DEC,Energy
DECK,Consumer Cyclical
DELL,Technology
DF,Unknown
DFS,Financial Services
DG,Consumer Defensive
DGN,Unknown
DGX,Healthcare
DHI,Consumer Cyclical
DHR,Healthcare
DI,Unknown
DIGI,Communication Services
DIS,Communication Services
DISCA,Unknown
DISCK,Unknown
DISH,Unknown
DJ,Unknown
DLR,Real Estate
DLTR,Consumer Defensive
DLX,Industrials
DNB,Financial Services
DNR,Unknown
DO,Unknown
DOC,Real Estate
DOV,Industrials
DOW,Basic Materials
DPHIQ,Unknown
DPZ,Consumer Cyclical
DRE,Unknown
DRI,Consumer Cyclical
DTE,Utilities
DTV,Unknown
DUK,Utilities
DVA,Healthcare
DVN,Energy
DWD,Unknown
DWDP,Unknown
DXC,Technology
DXCM,Healthcare
DYN,Healthcare
EA,Communication Services
EBAY,Consumer Cyclical
EC,Energy
ECH,Unknown
ECL,Basic Materials
ECO,Industrials
ED,Utilities
EDS,Unknown
EFU,Unknown
EFX,Industrials
EG,Financial Services
EHC,Healthcare
EIX,Utilities
EKDKQ,Unknown
EL,Consumer Defensive
ELV,Healthcare
EMC,Unknown
EMN,Basic Materials
EMR,Industrials
ENDP,Unknown
ENPH,Technology
ENRNQ,Unknown
ENS,Industrials
EOG,Energy
EOP,Unknown
EP,Energy
EPAM,Technology
EQ,Healthcare
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financial Services
ES,Utilities
ESRX,Unknown
ESS,Real Estate
ESV,Unknown
ETFC,Unknown
ETN,Industrials
ETR,Utilities
ETS,Unknown
ETSY,Consumer Cyclical
EVHC,Unknown
EVRG,Utilities
EW,Healthcare
EXC,Utilities
EXPD,Industrials
EXPE,Consumer Cyclical
EXR,Real Estate
F,Consumer Cyclical
FANG,Energy
FAST,Industrials
FB,Unknown
FBF,Unknown
FBHS,Unknown
FBO,Unknown
FCN,Industrials
FCPT,Real Estate
FCX,Basic Materials
FDC,Unknown
FDO,Unknown
FDS,Financial Services
FDX,Industrials
FE,Utilities
FFIV,Technology
FG,Financial Services
FHN,Financial Services
FI,Technology
FICO,Technology
FII,Unknown
FIS,Technology
FISV,Unknown
FITB,Financial Services
FJ,Unknown
FL,Consumer Cyclical
FLIR,Unknown
FLMIQ,Unknown
FLR,Industrials
FLS,Industrials
FLT,Unknown
FLTWQ,Unknown
FMC,Basic Materials
FMCC,Financial Services
FMY,Financial Services
FNMA,Financial Services
FOSL,Consumer Cyclical
FOX,Communication Services
FOXA,Communication Services
FPC,Unknown
FRC,Unknown
FRO,Energy
FRT,Real Estate
FRX,Unknown
FSH,Unknown
FSL,Unknown
FSLR,Technology
FTI,Energy
FTL.A,Unknown
FTNT,Technology
FTR,Unknown
FTV,Technology
FWLT,Unknown
G,Technology
GAPTQ,Unknown
GAS,Unknown
GD,Industrials
GDDY,Technology
GDT,Unknown
GDW,Unknown
GE,Industrials
GEHC,Healthcare
GEN,Technology
GENZ,Unknown
GEV,Utilities
GFS.A,Unknown
GGP,Unknown
GHC,Consumer Defensive
GIDL,Unknown
GILD,Healthcare
GIS,Consumer Defensive
GL,Financial Services
GLD,Unknown
GLK,Unknown
GLW,Technology
GM,Consumer Cyclical
GMCR,Unknown
GME,Consumer Cyclical
GNRC,Industrials
GNT,Financial Services
GNW,Financial Services
GOOG,Communication Services
GOOGL,Communication Services
GP,Industrials
